... building the model
... training
p=0.700000
epoch 99, minibatch 3296/3296, validation error 17.240437 %
epoch 100, minibatch 3296/3296, validation error 16.379781 %
     epoch 100, minibatch 3296/3296, test error of best model 17.901614 %
epoch 101, minibatch 3296/3296, validation error 16.571038 %
epoch 102, minibatch 3296/3296, validation error 17.035519 %
epoch 103, minibatch 3296/3296, validation error 16.912568 %
epoch 104, minibatch 3296/3296, validation error 17.144809 %
epoch 105, minibatch 3296/3296, validation error 16.311475 %
     epoch 105, minibatch 3296/3296, test error of best model 17.336664 %
epoch 106, minibatch 3296/3296, validation error 16.420765 %
epoch 107, minibatch 3296/3296, validation error 16.543716 %
epoch 108, minibatch 3296/3296, validation error 16.502732 %
epoch 109, minibatch 3296/3296, validation error 16.065574 %
     epoch 109, minibatch 3296/3296, test error of best model 17.428901 %
epoch 110, minibatch 3296/3296, validation error 16.202186 %
epoch 111, minibatch 3296/3296, validation error 16.133880 %
epoch 112, minibatch 3296/3296, validation error 16.079235 %
epoch 113, minibatch 3296/3296, validation error 16.543716 %
epoch 114, minibatch 3296/3296, validation error 16.379781 %
epoch 115, minibatch 3296/3296, validation error 15.928962 %
     epoch 115, minibatch 3296/3296, test error of best model 17.317448 %
epoch 116, minibatch 3296/3296, validation error 16.420765 %
epoch 117, minibatch 3296/3296, validation error 16.092896 %
epoch 118, minibatch 3296/3296, validation error 16.051913 %
epoch 119, minibatch 3296/3296, validation error 16.161202 %
epoch 120, minibatch 3296/3296, validation error 16.584699 %
epoch 121, minibatch 3296/3296, validation error 15.983607 %
epoch 122, minibatch 3296/3296, validation error 15.860656 %
     epoch 122, minibatch 3296/3296, test error of best model 17.152191 %
epoch 123, minibatch 3296/3296, validation error 16.311475 %
epoch 124, minibatch 3296/3296, validation error 15.915301 %
epoch 125, minibatch 3296/3296, validation error 16.010929 %
epoch 126, minibatch 3296/3296, validation error 16.571038 %
epoch 127, minibatch 3296/3296, validation error 16.256831 %
epoch 128, minibatch 3296/3296, validation error 15.710383 %
     epoch 128, minibatch 3296/3296, test error of best model 16.767871 %
epoch 129, minibatch 3296/3296, validation error 15.833333 %
epoch 130, minibatch 3296/3296, validation error 16.161202 %
epoch 131, minibatch 3296/3296, validation error 15.341530 %
     epoch 131, minibatch 3296/3296, test error of best model 16.929285 %
epoch 132, minibatch 3296/3296, validation error 15.546448 %
epoch 133, minibatch 3296/3296, validation error 16.215847 %
epoch 134, minibatch 3296/3296, validation error 15.915301 %
epoch 135, minibatch 3296/3296, validation error 15.491803 %
epoch 136, minibatch 3296/3296, validation error 15.218579 %
     epoch 136, minibatch 3296/3296, test error of best model 16.629516 %
